chlorides,density,pH,sulphates,acid,residual sugar,alcohol,bound sulfur dioxide,quality,type
0.046,0.9998,3.32,0.39,8.4,17.8,8.7,106,5,white
0.05,0.9985,3.2,0.46,8.4,13.7,8.7,148,5,white
0.031,0.9944,3.13,0.5,8.84,7.8,10.4,67,5,white
0.043,0.9975,3.14,0.46,8.82,11.2,8.7,102,5,white
0.037,0.996,3.38,0.45,7.2,10.4,10,101,5,white
0.043,0.9975,3.14,0.46,8.82,11.2,8.7,102,5,white
0.043,0.9996,2.93,0.47,8.28,19.45,8.9,120,5,white
0.036,0.9944,3.17,0.33,8.26,8.2,10.2,80,5,white
0.043,0.9996,2.93,0.47,8.28,19.45,8.9,120,5,white
0.043,0.9944,3.34,0.57,6.6,6.9,9.7,115,5,white
0.044,0.9944,3.33,0.58,6.54,7,9.7,114,5,white
0.051,0.9972,3.29,0.38,6.82,13.1,9.3,104,5,white
0.057,0.9949,3.24,0.38,8.36,5.1,9,93,5,white
0.046,0.9966,3.05,0.61,8.66,10.7,9.5,175,5,white
0.042,0.9915,2.89,0.5,9.02,1.1,10.6,51,5,white
0.054,0.9982,3.19,0.49,7.98,15.6,9.3,145,5,white
0.055,0.9988,3.12,0.49,8.28,15.4,8.8,152,5,white
0.056,0.9961,3.08,0.47,8.44,7.2,8.8,133,5,white
0.066,1,2.96,0.44,8.8,19.8,9.1,142,5,white
0.045,0.9976,3.09,0.57,10.48,10.6,9.4,136,5,white
0.058,0.995,3.2,0.41,8.54,6.7,9.9,123,5,white
0.04,0.9941,3.29,0.62,6.9,6.6,10,117,5,white
0.031,0.9938,3.19,0.37,7.78,7.7,10.5,99,5,white
0.031,0.9938,3.19,0.37,7.78,7.7,10.5,99,5,white
0.046,0.993,3.02,0.55,10.14,2,11.4,196,5,white
0.057,0.9946,3.18,0.59,8.66,5.8,10.5,182,5,white
0.036,0.992,3.17,0.51,8.44,1.3,10.4,52,5,white
0.032,0.9927,3.2,0.39,7.96,4.6,10.6,98,5,white
0.038,0.9954,3.11,0.44,7.74,9.9,9.8,103,5,white
0.031,0.9923,3.25,0.38,6.64,5.7,10.8,68,5,white
0.047,0.9945,3.45,0.53,7.22,1.3,10.4,127,5,white
0.053,0.9931,3.29,0.76,6.96,3,10,98,5,white
0.054,0.997,3.15,0.47,8.84,11.2,10,81,5,white
0.055,0.9941,3.15,0.43,8.11,1.2,8.9,60,5,white
0.044,0.9941,3.17,0.29,8.58,12.5,11.6,46,5,white
0.048,0.9934,3.34,0.56,8.79,0.8,10,187,5,white
0.04,0.9941,3.12,0.66,7.78,5.9,10.1,177.5,5,white
0.031,0.9916,3.1,0.46,7.86,1.1,10.6,53,5,white
0.044,0.9976,3.19,0.44,8.56,11.8,8.8,101,5,white
0.04,0.992,3.18,0.41,7.58,1.3,10,81,5,white
0.031,0.9917,3.09,0.39,9.6,1.8,11.4,63,5,white
0.048,0.9993,3.35,0.44,6.96,18.2,9.4,116,5,white
0.044,0.9976,3.19,0.44,8.56,11.8,8.8,101,5,white
0.069,0.9934,3.23,0.52,6.94,1.4,9.2,86,5,white
0.046,1,3.07,0.56,8.26,18.2,8.7,197,5,white
0.04,0.992,3.18,0.41,7.58,1.3,10,81,5,white
0.049,0.9932,3.17,0.51,8.36,1.2,9.4,112,5,white
0.031,0.9917,3.09,0.39,9.6,1.8,11.4,63,5,white
0.036,0.9918,3.16,0.5,8.36,1.2,10.5,53,5,white
0.036,0.9918,3.16,0.5,8.36,1.2,10.5,53,5,white
0.047,0.9959,3.1,0.47,7.76,7.7,9,153,5,white
0.053,0.9974,3.09,0.45,8.38,13.3,9.4,146,5,white
0.051,0.9936,3.06,0.46,8.76,1.2,9.1,69,5,white
0.056,0.9978,3.1,0.49,8.66,13.6,9.3,143,5,white
0.053,0.9974,3.09,0.45,8.38,13.3,9.4,146,5,white
0.048,0.9927,3.21,0.38,7.28,1.1,9.8,65,5,white
0.042,0.9935,3.27,0.6,7.3,2.5,9.8,195.5,5,white
0.06,0.9934,3.26,0.54,6.98,1.2,9.2,85,5,white
0.054,0.9914,3.53,0.42,6.9,2.6,12.4,126,5,white
0.07,0.9971,3.03,0.54,8.8,9.9,9.1,153,5,white
0.038,0.9921,3.24,0.44,7,1.2,10.1,94,5,white
0.056,0.9956,2.95,0.52,8.06,8.6,9.5,85,5,white
0.059,0.9971,3.37,0.5,7.66,9.1,8.5,166,5,white
0.056,0.9956,2.95,0.52,8.06,8.6,9.5,85,5,white
0.047,0.9982,3.22,0.45,8.08,15.2,9.3,131,5,white
0.047,0.9973,3.35,0.38,6.78,12.4,9.5,112,5,white
0.047,0.9976,3.16,0.5,9.22,11,8.7,112,5,white
0.081,0.9962,2.95,0.46,7.88,10,8.9,92,5,white
0.047,0.9976,3.16,0.5,9.22,11,8.7,112,5,white
0.047,0.9992,3.09,0.52,8.84,18.15,9.6,123,5,white
0.036,0.9937,3.14,0.76,7.94,3.4,10,166,5,white
0.029,0.9965,3.03,0.61,8.5,11,9.5,172,5,white
0.043,0.9964,3.22,0.6,8.32,8.9,9.2,141,5,white
0.044,0.9972,3.34,0.42,6.78,13.3,9.5,96,5,white
0.043,0.9964,3.22,0.6,8.32,8.9,9.2,141,5,white
0.346,0.9954,3.29,0.58,7.54,6.6,9.6,121,5,white
0.04,0.992,3.27,0.66,7.05,1,10,161,5,white
0.037,0.9937,3.19,0.62,7.68,2.25,9.9,202,5,white
0.09,0.9944,3.01,0.52,8.84,3.3,8.8,128,5,white
0.055,0.9934,3.08,0.45,7.9,1.6,9.1,107,5,white
0.048,0.9942,3.19,0.4,8.56,12.6,11.7,34,5,white
0.039,0.9942,3.05,0.74,8.8,2.1,9.8,135,5,white
0.039,0.9942,3.05,0.74,8.8,2.1,9.8,135,5,white
0.038,0.9902,3.37,0.34,7.04,1,11.4,66,5,white
0.186,0.9945,3.06,0.4,7.72,4,9.3,86,5,white
0.047,0.9987,3.09,0.51,9.61,15.3,9.1,117,5,white
0.047,0.9987,3.09,0.51,9.61,15.3,9.1,117,5,white
0.045,0.992,3.31,0.54,7.18,1.5,10.4,39,5,white
0.05,0.9976,3.16,0.42,9.42,10.4,8.7,116,5,white
0.05,0.9976,3.16,0.42,9.42,10.4,8.7,116,5,white
0.046,0.9982,2.98,0.65,10.52,12.2,9.4,138,5,white
0.044,0.9969,3.25,0.39,6.8,12.1,9.5,112,5,white
0.057,0.9924,3.24,0.48,6.84,1.6,10.1,89,5,white
0.066,0.9945,3.2,0.42,8.42,4.2,9.1,127,5,white
0.048,0.9928,3.08,0.61,7.52,2.2,9.8,94,5,white
0.051,0.9976,3.05,0.46,9.54,10.8,8.7,117,5,white
0.047,0.9987,3.04,0.56,8.46,16.3,8.8,137,5,white
0.051,0.9976,3.05,0.46,9.54,10.8,8.7,117,5,white
0.042,0.994,3.35,0.39,6.5,4.2,9.4,86,5,white
0.059,0.9983,2.94,0.44,8.72,14.5,9.1,142,5,white
0.043,0.9968,3.2,0.52,8.38,10.1,9.4,124,5,white
0.03,0.9905,2.97,0.28,7.44,1.1,10.8,121,5,white
0.03,0.9904,2.97,0.29,7.47,1,10.8,122,5,white
0.043,0.9968,3.2,0.52,8.38,10.1,9.4,124,5,white
0.03,0.9905,2.97,0.28,7.44,1.1,10.8,121,5,white
0.03,0.9904,2.97,0.29,7.47,1,10.8,122,5,white
0.049,0.9965,3.43,0.38,8.38,7.5,9.6,120,5,white
0.049,0.9965,3.43,0.38,8.38,7.5,9.6,120,5,white
0.044,0.9993,3.34,0.48,7.16,17.75,9.5,113,5,white
0.047,0.9978,2.99,0.38,9.32,11,8.8,96,5,white
0.045,0.9978,3,0.36,9.28,10.9,8.7,95,5,white
0.045,0.9978,3,0.36,9.28,10.9,8.7,95,5,white
0.047,0.9978,2.99,0.38,9.32,11,8.8,96,5,white
0.084,0.9993,3.18,0.58,8.24,16.8,9,163,5,white
0.083,0.9965,2.85,0.5,7.88,8.9,9,121,5,white
0.045,0.9913,3.23,0.51,8.36,1.1,11.4,61,5,white
0.066,0.9934,3.26,0.55,6.84,1.4,9.3,101,5,white
0.05,0.9999,3.22,0.42,8.3,18.05,8.8,109,5,white
0.05,0.9999,3.22,0.42,8.3,18.05,8.8,109,5,white
0.045,0.9972,3.33,0.42,6.98,12.6,9.5,142,5,white
0.053,0.9976,3.1,0.62,8.46,11.9,9.2,123,5,white
0.046,0.9937,3.3,0.71,6.58,5,10.3,150,5,white
0.046,0.9937,3.3,0.71,6.75,5.8,10.3,148,5,white
0.05,0.9969,3.31,0.45,7.44,11.5,9.5,129,5,white
0.051,0.9968,3.31,0.45,7.46,11.4,9.5,134,5,white
0.058,0.9961,3.24,0.41,7.32,7.8,9,122,5,white
0.041,0.9944,3.16,0.72,6.88,5.9,10,156,5,white
0.05,0.9936,3.25,0.44,8.4,3.2,10.2,122,5,white
0.052,0.9915,3.24,0.4,7.64,3.1,11.3,147,5,white
0.049,0.9934,3.15,0.38,8.18,1.9,9.4,74,5,white
0.049,0.9934,3.15,0.38,8.18,1.9,9.4,74,5,white
0.056,0.9944,3.28,0.48,8.8,1.4,9.5,106,5,white
0.047,0.9966,3.18,0.57,7.88,11.6,9.3,151,5,white
0.047,0.9968,3.08,0.6,8.04,10.7,9.4,149,5,white
0.043,0.992,3.17,0.39,7.54,1.4,10,95,5,white
0.058,0.9931,3.06,0.47,8.86,1.3,9.7,159,5,white
0.24,0.9948,3.12,0.48,7.58,4.5,9.4,113,5,white
0.052,0.9923,3.03,0.42,9.64,1.7,11.2,133,5,white
0.051,0.9976,3.25,0.46,7.44,13.2,9,147,5,white
0.036,0.9942,3.17,0.62,7.04,6.3,9.8,155,5,white
0.036,0.9944,3.17,0.63,6.92,6.3,9.8,151,5,white
0.047,0.9977,3.23,0.46,7.54,14.7,9.5,149,5,white
0.039,0.9982,3.06,0.6,9.14,14.8,9.5,142,5,white
0.039,0.9982,3.06,0.6,9.14,14.8,9.5,142,5,white
0.042,0.9983,3.06,0.59,8.98,14.2,9.4,142,5,white
0.042,0.998,3.06,0.64,10.6,13.1,9.7,168,5,white
0.032,0.993,2.89,0.34,10.06,6.1,10.9,28,5,white
0.041,0.9941,3.15,0.6,7.24,6.3,10,168,5,white
0.044,0.99345,3.14,0.46,7.56,1,9.2,85,5,white
0.046,0.998,3.35,0.45,7.08,12.1,9.5,121,5,white
0.04,0.99475,3.32,0.43,7.8,7.5,10,156,5,white
0.042,1.0002,2.96,0.5,8.36,18.75,9.1,123,5,white
0.053,0.99685,3.02,0.45,8.06,9,8.9,116,5,white
0.046,0.99455,3.5,0.52,7.48,1.5,10.4,167,5,white
0.041,0.99225,3.15,0.46,7.6,1.2,10.2,101,5,white
0.057,0.9954,2.99,0.59,8.1,8,9.4,82,5,white
0.043,0.99455,3.35,0.47,7.34,5.3,10.5,115,5,white
0.185,0.9924,3.12,0.62,7.2,0.8,9.4,176,5,white
0.04,0.9971,3.28,0.61,8.16,9.8,9.2,163,5,white
0.04,0.9971,3.28,0.61,8.16,9.8,9.2,163,5,white
0.034,0.9977,3.33,0.43,6.92,12.5,9.4,114,5,white
0.041,0.99535,3.17,0.43,8.7,7.5,10,136,5,white
0.11,0.9932,3.09,0.5,7.54,2.2,9.1,124,5,white
0.056,0.99755,3.42,0.43,6.86,11.1,9.5,130,5,white
0.057,1.00055,3,0.56,8.26,19.3,8.7,192,5,white
0.078,0.9988,3.08,0.44,8.96,13.4,9.2,157,5,white
0.039,0.99985,3.4,0.45,7.24,16.7,9.4,123,5,white
0.052,0.99865,3.12,0.53,8.04,13.7,9,150,5,white
0.052,0.99865,3.12,0.53,8.04,13.7,9,150,5,white
0.046,0.99445,3.1,0.56,7.48,4.9,10,110,5,white
0.049,0.99335,3.03,0.52,8.58,1.4,9.3,135,5,white
0.05,0.99625,3.09,0.43,8.34,7.3,9,120,5,white
0.048,0.9953,3.19,0.47,7.54,6.8,9.3,161,5,white
0.044,0.99775,3.07,0.53,8.28,11.6,9.3,163,5,white
0.046,0.9975,3.17,0.41,7.54,13.2,9.6,148,5,white
0.048,0.9953,3.19,0.47,7.54,6.8,9.3,161,5,white
0.04,0.9939,3.01,0.46,7.14,2.8,9,101,5,white
0.036,0.9939,3.16,0.52,9.6,5.1,11.7,70,5,white
0.034,0.99675,3.2,0.51,8.16,8.9,9.1,106,5,white
0.04,0.9939,3.01,0.46,7.14,2.8,9,101,5,white
0.034,0.99675,3.2,0.51,8.16,8.9,9.1,106,5,white
0.053,0.99445,3.3,0.43,7.58,5.4,9.4,70,5,white
0.036,0.9939,3.16,0.52,9.6,5.1,11.7,70,5,white
0.035,0.99845,3.02,0.4,7.78,15.4,9.3,91,5,white
0.026,0.9921,3.08,0.39,10.42,1.2,10.8,56,5,white
0.042,0.99855,3.1,0.54,9.94,13.6,9.4,108,5,white
0.039,0.9978,3.06,0.49,9.54,11.1,8.6,110,5,white
0.042,0.99855,3.1,0.54,9.94,13.6,9.4,108,5,white
0.042,0.9986,3.1,0.52,9.96,13.7,9.4,110,5,white
0.17,0.9946,3.18,0.47,7.8,4.8,9.4,106,5,white
0.028,0.9937,3.35,0.61,5.46,6.5,9.9,129,5,white
0.08,0.9956,3.04,0.48,8.2,9.7,9.4,148,5,white
0.039,0.9978,3.06,0.49,9.54,11.1,8.6,110,5,white
0.029,0.9932,3.35,0.39,8.58,1.3,10.1,54,5,white
0.036,0.9928,3.58,0.48,7.02,1,9.4,76,5,white
0.048,0.9975,3.08,0.4,7.36,12.8,8.9,166,5,white
0.049,0.9985,3.08,0.53,8.6,13,8.8,171,5,white
0.04,0.99425,3.15,0.63,7.36,5.8,9.9,120,5,white
0.042,0.99425,3.15,0.63,7.24,5.6,9.9,121,5,white
0.041,0.9943,3.15,0.63,7.36,5.8,9.9,123,5,white
0.038,0.9924,3.36,0.35,6.48,0.8,9.2,19,5,white
0.038,0.9924,3.36,0.35,6.28,0.8,9.2,19,5,white
0.047,0.9936,3.28,0.43,7.3,2.9,9.8,87,5,white
0.042,0.9932,3.36,0.38,6.79,2.8,9.3,54,5,white
0.055,0.998,3.58,0.47,7.7,12,10,132,5,white
0.044,0.9978,3.15,0.51,7.98,15,9,73,5,white
0.033,0.9974,3.08,0.38,7.78,12.6,8.9,166,5,white
0.037,0.99495,3.26,0.41,7.14,7.4,9.6,147,5,white
0.039,0.99745,3.08,0.38,7.62,13,8.9,169,5,white
0.041,0.99505,3.12,0.4,7.52,6.7,8.9,169,5,white
0.048,0.992,3.08,0.41,7.9,1.4,11.4,57,5,white
0.044,0.9978,3.15,0.51,7.98,15,9,73,5,white
0.034,0.99485,3.14,0.6,7.44,7.5,9.7,157,5,white
0.047,0.99965,2.96,0.43,10.89,18.2,9.6,150,5,white
0.039,0.9935,2.96,0.36,9.52,1.6,10,123,5,white
0.034,0.9942,3.18,0.46,8.58,6.4,11.5,76,5,white
0.043,0.9936,3.08,0.38,8.81,1.9,9.5,119,5,white
0.042,0.9928,2.99,0.36,9.4,1.3,10,78,5,white
0.043,0.9936,3.08,0.38,8.81,1.9,9.5,119,5,white
0.042,0.9938,3.07,0.38,8.66,1.8,9.5,120,5,white
0.035,0.9928,3.15,0.36,9.62,3.2,11.5,87,5,white
0.054,0.9956,3.12,0.49,8.7,4.3,9.2,89,5,white
0.05,0.9966,3.25,0.49,7.44,7.6,8.6,136,5,white
0.15,0.9927,3.12,0.47,7.82,1.6,9.8,44,5,white
0.043,0.9925,3.44,0.52,7.94,1.6,10.8,86,5,white
0.043,0.9925,3.44,0.52,7.94,1.6,10.8,86,5,white
0.049,0.9972,3.19,0.39,7.54,15.2,9.9,142,5,white
0.046,0.9924,3.29,0.63,7.2,1.3,10.4,23,5,white
0.045,0.9952,3.09,0.46,7.78,6.8,9.4,155,5,white
0.052,0.9932,3.32,0.43,6.26,2.7,9.3,49,5,white
0.048,0.9968,3.19,0.5,7.64,11.6,9.5,148,5,white
0.064,0.9994,3.66,0.43,6.96,12.6,8.9,99,5,white
0.036,0.9926,3.03,0.29,8.82,2.8,10.2,94,5,white
0.071,0.9968,2.98,0.88,8.48,11.2,9.2,92,5,white
0.06,0.9936,3.54,0.88,8.58,1.5,10.7,57,5,white
0.044,0.9956,3.21,0.56,8.52,6,9.7,66,5,white
0.035,0.9918,3.05,0.74,8.52,1.4,11,89,5,white
0.039,0.992,3.01,0.56,8.85,1,10.7,56,5,white
0.048,1.001,2.95,0.4,9.12,19.45,8.8,188,5,white
0.05,0.9932,3.14,0.45,8.4,2,10.5,68,5,white
0.046,0.9937,3.29,0.45,7.08,1.3,10,84,5,white
0.029,0.9918,3.07,0.43,8.66,1.7,10.4,56,5,white
0.038,0.9934,3.03,0.43,9.86,1.1,9.2,60,5,white
0.048,0.9962,3.1,0.54,8.46,7.5,9,123,5,white
0.035,0.9908,2.99,0.39,9.02,1.3,11.3,68,5,white
0.029,0.9918,3.07,0.43,8.66,1.7,10.4,56,5,white
0.049,0.9941,2.96,0.44,9.94,2.2,10,82,5,white
0.093,0.9981,3.41,0.47,8.7,10,9,162,5,white
0.07,0.9966,3.34,0.55,7.98,7.5,9.4,140,5,white
0.079,0.9956,3.31,0.68,7.74,4,9.5,180.5,5,white
0.073,0.9956,3.3,0.67,7.74,4.1,9.5,166,5,white
0.054,1.0002,3.22,0.5,9.5,14.8,9.7,94,5,white
0.054,1.0002,3.22,0.5,9.5,14.8,9.7,94,5,white
0.048,0.9951,2.97,0.47,8.98,8,10.9,167,5,white
0.037,0.9944,3.18,0.65,9.2,1.3,10,89,5,white
0.051,1.0004,3.49,0.42,7.7,16.3,9.8,141,5,white
0.041,0.9977,3.06,0.45,9.3,10.2,8.6,102,5,white
0.045,0.9963,3.09,0.32,8.5,8.4,8.8,131,5,white
0.033,0.9914,3.44,0.53,7.42,1.6,11.4,89,5,white
0.036,0.9938,3.12,0.42,9.26,6.7,10.7,111,5,white
0.041,0.9977,3.06,0.45,9.3,10.2,8.6,102,5,white
0.047,0.9937,3.28,0.44,8.56,1.6,10.7,80,5,white
0.04,0.9922,3.29,0.52,6.99,1.4,10.5,53,5,white
0.037,0.9976,3.31,0.64,9.68,8.3,9.7,183,5,white
0.04,0.9922,3.29,0.52,6.89,1.4,10.5,53,5,white
0.042,0.9974,3.28,0.33,7.72,12.9,9,112,5,white
0.042,0.9944,2.93,0.46,11.42,1.6,10.8,113,5,white
0.044,0.9937,2.96,0.49,10.86,1.5,10.9,116,5,white
0.047,0.9928,3.27,0.46,6.44,1.3,9.5,79,5,white
0.043,0.9988,3.17,0.54,8.2,14.35,9.1,134,5,white
0.053,0.994,2.99,0.43,9.98,2.3,10,87,5,white
0.042,0.9953,3.25,0.42,8.9,4.7,10.4,108,5,white
0.058,0.996,3.14,0.58,10.68,3.2,9.5,94,5,white
0.034,0.9937,2.99,0.34,10.6,6.9,11.5,65,5,white
0.052,0.998,3.17,0.61,10.96,7.3,10.2,116,5,white
0.058,0.996,3.14,0.58,10.68,3.2,9.5,94,5,white
0.048,0.9933,3.25,0.45,8.28,1.6,10.5,104,5,white
0.047,0.9933,3.26,0.44,8.34,1.5,10.5,105,5,white
0.041,0.9959,3.14,0.41,7.8,7.5,8.9,152,5,white
0.031,0.9936,3.03,0.41,10.28,1.1,10.6,136,5,white
0.041,0.9953,3.17,0.49,10.22,1.3,9.5,176,5,white
0.038,0.9952,3.14,0.35,7.66,7.2,9.5,159,5,white
0.042,0.9959,3.13,0.4,7.88,7.6,8.9,150,5,white
0.041,0.9959,3.14,0.41,7.8,7.5,8.9,152,5,white
0.03,0.9946,3.52,0.41,7.12,6.3,10.4,95,5,white
0.039,0.9927,3.23,0.32,7.54,0.8,9.5,69,5,white
0.037,0.9918,3.21,0.37,8.36,1,11,53,5,white
0.03,0.9954,3.14,0.34,10.32,5.4,9.6,103,5,white
0.045,0.9931,3.42,0.55,8.5,2,11.4,70,5,white
0.042,0.9965,3,0.44,7.72,8.6,9.1,116,5,white
0.036,0.9956,2.97,0.39,11.48,2.8,9.2,132,5,white
0.044,0.9949,3.23,0.36,8.1,4.5,9.4,78,5,white
0.03,0.9954,3.14,0.34,10.32,5.4,9.6,103,5,white
0.045,0.9931,3.42,0.55,8.5,2,11.4,70,5,white
0.065,0.9978,3.12,0.51,8.6,11.8,8.9,160,5,white
0.048,0.9938,3.09,0.43,8.88,1.2,9.3,162,5,white
0.068,0.9944,3.1,0.45,9.06,1.6,9.6,50,5,white
0.046,0.9955,3.1,0.37,7.76,7.8,9,157,5,white
0.047,0.9954,3.19,0.46,10.2,1.5,9.4,189,5,white
0.046,0.9955,3.1,0.37,7.76,7.8,9,157,5,white
0.064,0.9958,3.29,0.3,8.62,6.7,9.7,160,5,white
0.045,0.9959,3.17,0.43,9.4,7.1,10.6,128,5,white
0.301,0.9993,2.94,0.48,9.98,12.1,9.2,196,5,white
0.045,0.9959,3.17,0.43,9.4,7.1,10.6,128,5,white
0.039,0.9943,3.1,0.42,8.02,6.5,10.5,90,5,white
0.036,0.993,3.03,0.48,9.06,1.7,10.5,149,5,white
0.024,0.9928,3.17,0.51,8.56,3.6,10.9,81,5,white
0.042,0.998,3.19,0.59,11.76,2.2,9.7,136,5,white
0.037,0.9944,3.29,0.32,7.36,5.1,10.1,108,5,white
0.051,0.9981,3.15,0.51,10.42,10.7,10.4,149,5,white
0.049,0.9927,3.13,0.42,6.85,1.1,9.3,122,5,white
0.138,0.9936,3.08,0.3,8.78,1,9.2,92,5,white
0.036,0.9938,3.46,0.39,8.18,1.2,9.9,58,5,white
0.04,0.9966,3.04,0.35,8.8,10.5,9.4,124,5,white
0.037,0.9938,3.21,0.42,10.04,1.1,10.9,103,5,white
0.169,0.9965,3.2,0.48,8.4,5.3,9.4,130,5,white
0.037,0.9938,3.21,0.42,10.04,1.1,10.9,103,5,white
0.04,0.9966,3.04,0.35,8.8,10.5,9.4,124,5,white
0.039,0.9977,3.02,0.43,9.5,10.7,8.7,96,5,white
0.042,0.9928,2.96,0.4,8.82,4.75,11.5,121,5,white
0.032,0.9939,3.22,0.27,8.1,7.7,11.4,125,5,white
0.038,1,2.95,0.75,10.6,17.35,9.3,167,5,white
0.049,0.9958,2.98,0.62,11.16,1.5,9.5,119,5,white
0.04,0.9938,2.94,0.43,11.18,1.3,10.5,144,5,white
0.046,0.9949,3.08,0.48,10.68,1.3,9.6,172,5,white
0.039,0.9927,3.32,0.62,7.98,1.4,10.8,156,5,white
0.038,0.9955,3.03,0.42,7.96,6.6,8.8,175,5,white
0.093,0.9924,3.44,0.66,7.12,1.7,11,121,5,white
0.052,0.994,2.85,0.46,9.64,2.1,9.5,84,5,white
0.05,0.994,2.85,0.45,9.54,2.2,9.5,84,5,white
0.048,0.9956,3.29,0.52,7.66,6.4,10,211,5,white
0.048,0.9956,3.29,0.52,7.66,6.4,10,211,5,white
0.029,0.9931,3.04,0.33,9.14,2,10.4,138,5,white
0.048,0.9956,3.29,0.52,7.66,6.4,10,211,5,white
0.04,0.9955,3.43,0.41,8.66,1.8,9,136,5,white
0.04,0.9907,2.92,0.42,8.8,1.1,11.4,105,5,white
0.04,0.9907,2.92,0.42,8.8,1.1,11.4,105,5,white
0.058,0.9958,3.15,0.45,8.62,3.8,8.9,96,5,white
0.168,0.9984,2.9,0.49,9.62,14.15,9.3,143,5,white
0.042,0.9956,3.77,0.64,7.44,1.3,9.5,112,5,white
0.043,0.9938,2.9,0.38,10.58,6.6,11.6,62,5,white
0.038,0.9932,3.36,0.36,6.77,0.8,9.3,41,5,white
0.044,0.992,3.13,0.55,9.08,1,10.2,114,5,white
0.051,0.9925,3.32,0.47,6.11,1.1,9.1,80,5,white
0.042,0.9917,3.13,0.55,8.88,1.1,11.3,121,5,white
0.051,0.9928,3.3,0.46,7.52,1.5,9.6,69,5,white
0.051,0.9928,3.3,0.46,7.52,1.5,9.6,69,5,white
0.042,0.9917,3.13,0.55,8.88,1.1,11.3,121,5,white
0.053,0.9982,3.17,0.5,7.84,14.2,9.6,75,5,white
0.051,1.0005,2.99,0.7,11.1,17.85,9.2,192,5,white
0.05,0.9951,3.23,0.34,7.74,7.1,9.5,143,5,white
0.052,0.9956,3.16,0.47,7.58,7.6,8.9,159,5,white
0.05,0.998,3.03,0.44,9.2,13.6,8.8,106,5,white
0.057,0.9928,3.16,0.35,8.3,1.4,10.5,100,5,white
0.061,0.9938,3.08,0.34,9.48,1.2,9.4,90,5,white
0.048,0.9929,3.01,0.42,8.98,1.1,9.3,127,5,white
0.054,1.0012,2.99,0.54,9.7,19.8,9.2,181,5,white
0.069,0.9968,3,0.81,9.06,11.2,9.2,106,5,white
0.044,0.9931,3.46,0.53,8.88,0.8,10.2,144,5,white
0.046,0.9928,3.19,0.39,7.46,1.6,9.8,45,5,white
0.048,0.9929,3.01,0.42,8.98,1.1,9.3,127,5,white
0.052,0.9911,3.15,0.28,9.2,1.35,11.4,42,5,white
0.028,0.9962,3.22,0.36,9.78,8.7,10.7,144,5,white
0.037,0.9998,2.99,0.41,9.7,17.85,9.3,135,5,white
0.031,0.9918,3.06,0.62,8.88,1.3,11.1,89,5,white
0.046,0.9964,3.14,0.48,9.58,9.4,10,141,5,white
0.039,0.9934,3.41,0.32,8.42,1.1,10.4,56,5,white
0.04,0.9938,3.05,0.37,9.68,1.7,10.1,135,5,white
0.034,0.9933,3.13,0.36,7.68,1.2,9.2,104,5,white
0.053,0.993,3.16,0.47,9.28,1.6,10.5,129,5,white
0.061,0.9942,3.23,0.48,9.34,1.8,10,135,5,white
0.04,0.9938,3.05,0.37,9.68,1.7,10.1,135,5,white
0.034,0.9933,3.13,0.36,7.68,1.2,9.2,104,5,white
0.041,0.9927,3.25,0.63,8.3,1.4,11,149,5,white
0.037,0.9981,3.04,0.44,9.22,12.5,8.7,109,5,white
0.037,0.9981,3.04,0.44,9.22,12.5,8.7,109,5,white
0.028,0.9926,2.91,0.32,10.14,1,9.9,18,5,white
0.028,0.9926,2.91,0.32,10.14,1,9.9,18,5,white
0.059,0.9958,3.15,0.46,10.64,2,10.1,102,5,white
0.059,0.9958,3.15,0.46,10.64,2,10.1,102,5,white
0.046,0.9996,3.06,0.41,8.94,18.05,9.2,122,5,white
0.055,0.9946,3.33,0.44,8.86,1.8,9.9,91,5,white
0.038,0.9945,3.21,0.46,8.78,5,9.9,122,5,white
0.041,0.9946,3.21,0.45,8.68,4.6,9.9,123,5,white
0.045,0.9931,3.16,0.35,9.3,3.1,10.3,95,5,white
0.046,0.9978,3.58,0.68,8.24,11.9,10.1,114,5,white
0.046,1.0004,3.18,0.45,11.4,15.4,9.5,106,5,white
0.046,0.9978,3.58,0.68,8.24,11.9,10.1,114,5,white
0.039,0.9982,3.02,0.4,9.38,13.5,8.7,119,5,white
0.042,0.9948,3.11,0.46,10.9,1.3,9.8,113,5,white
0.039,0.9982,3.02,0.4,9.38,13.5,8.7,119,5,white
0.034,0.9906,3.15,0.3,7.72,2.7,11.9,66,5,white
0.034,0.9906,3.28,0.36,6.86,4.7,12.7,50,5,white
0.048,0.9942,3.24,0.35,7.54,2.8,9.5,98,5,white
0.057,1.0024,2.98,0.47,8.42,23.5,8.6,176,5,white
0.035,0.9958,3.14,0.34,9.56,11.7,10.8,91,5,white
0.05,0.9956,3.13,0.34,10.52,1.6,9.4,114,5,white
0.05,0.9956,3.13,0.34,10.52,1.6,9.4,114,5,white
0.053,0.993,3.23,0.7,7.88,1.8,11.4,115,5,white
0.043,0.9952,3.21,0.33,9.76,7,10,120,5,white
0.239,0.9988,2.96,0.51,9.52,13,9.2,178,5,white
0.042,0.993,3.1,0.39,9.32,3.8,10.5,79,5,white
0.043,0.9952,3.21,0.33,9.76,7,10,120,5,white
0.045,0.9942,3.4,0.59,8.68,1.6,10.2,69,5,white
0.052,0.9956,3.11,0.38,8.5,7.4,9,165,5,white
